Bókstafir,Fyrsta Hljóð,Annar Hljóð,Hljóð,Dæmi
hj,h,j,j°,hjól
hé,h,é,j°é,hér
hl,h,l,l°,hlusta
hn,h,n,n°,hnerra
hr,h,r,r°,hraði
